plotcode,latitude,longitude,year,month,day,time,plot.ID,area,block,block.rep,landuse,n_vs_non.N,Moisture.m3.m3
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,21:00:00,13,Makao,3,3,pasture,legume,0.407
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,00:00:00,13,Makao,3,3,pasture,legume,0.405
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,03:00:00,13,Makao,3,3,pasture,legume,0.403
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,06:00:00,13,Makao,3,3,pasture,legume,0.402
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,09:00:00,13,Makao,3,3,pasture,legume,0.401
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,12:00:00,13,Makao,3,3,pasture,legume,0.400
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,15:00:00,13,Makao,3,3,pasture,legume,0.399
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,18:00:00,13,Makao,3,3,pasture,legume,0.399
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,26,21:00:00,13,Makao,3,3,pasture,legume,0.398
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,00:00:00,13,Makao,3,3,pasture,legume,0.396
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,03:00:00,13,Makao,3,3,pasture,legume,0.394
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,06:00:00,13,Makao,3,3,pasture,legume,0.393
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,09:00:00,13,Makao,3,3,pasture,legume,0.391
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,12:00:00,13,Makao,3,3,pasture,legume,0.390
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,15:00:00,13,Makao,3,3,pasture,legume,0.389
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,18:00:00,13,Makao,3,3,pasture,legume,0.421
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,27,21:00:00,13,Makao,3,3,pasture,legume,0.431
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,00:00:00,13,Makao,3,3,pasture,legume,0.430
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,03:00:00,13,Makao,3,3,pasture,legume,0.420
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,06:00:00,13,Makao,3,3,pasture,legume,0.409
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,09:00:00,13,Makao,3,3,pasture,legume,0.407
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,12:00:00,13,Makao,3,3,pasture,legume,0.406
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,15:00:00,13,Makao,3,3,pasture,legume,0.406
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,18:00:00,13,Makao,3,3,pasture,legume,0.406
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,28,21:00:00,13,Makao,3,3,pasture,legume,0.405
TZ_SS_MP13,-3.408244019,34.85029503,2017,3,1,00:00:00,13,Makao,3,3,pasture,legume,0.403
